keywords,12.29-12.31,1.1-1.3,1.4-1.6,1.7-1.9,1.10-1.12,1.13-1.15,1.16-1.18,1.19-1.21,1.22-1.24,1.25-1.27,1.28-1.30,1.31-2.2,2.3-2.5,2.6-2.8,2.9-2.11,2.12-2.14,2.15-2.17,2.18-2.20,2.21-2.23,2.24-2.26
WayV,31,0,5,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0
moon,0,0,0,0,0,0,8,0,0,4,0,0,0,3,7,7,9,0,0,0
首站,13,0,2,3,0,1,3,3,2,0,5,3,1,0,0,0,0,0,0,0
微博,25,8,3,1,3,4,6,6,5,0,5,3,3,0,3,3,4,2,1,0
中文,13,2,2,3,0,1,3,3,2,0,5,3,1,0,0,0,0,0,0,1
李永钦,7,15,4,0,5,9,6,3,5,0,6,3,0,0,8,8,6,6,0,0
全体,2,2,3,0,2,0,6,4,6,0,0,0,0,2,0,0,0,0,4,0
SuperM,5,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0
WEVERSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
小红书,14,26,12,0,14,8,6,2,6,2,14,8,3,8,0,0,8,12,12,2
TWITTER1,8,8,0,4,6,5,6,0,0,4,0,0,5,0,0,0,0,0,0,2
YOUTUBE,0,0,0,0,7,7,0,0,0,0,0,10,0,0,0,0,0,6,0,0
TSKS,0,0,4,0,8,0,0,4,0,0,4,0,9,4,4,4,6,6,0,0
BTS,0,4,0,4,12,8,10,9,5,0,14,0,5,8,5,5,5,0,7,5
NCT,0,6,0,8,17,6,6,6,5,6,6,6,9,2,0,0,0,14,2,9
INSTAGRAM1,6,4,3,0,0,0,9,4,0,0,5,6,3,2,6,6,10,0,4,0
单号,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菜鸟包裹,0,4,9,0,10,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0
??,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXT,6,0,0,0,0,0,0,0,0,3,0,0,3,0,7,7,0,7,0,0
LIVE直播,1,3,3,0,2,1,3,4,0,0,3,1,2,1,3,3,0,0,4,6
黄旭,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
编舞,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哔哩哔哩,0,18,4,4,8,6,0,0,0,0,10,4,0,4,0,0,0,4,0,4
天才,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WORLD,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
GIFT,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0
MAP,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
笔记,2,3,0,0,4,2,0,0,0,0,4,2,0,2,0,0,2,3,2,0
限定,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
绿洲,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音乐,0,8,4,2,6,2,4,4,6,4,5,8,5,1,0,0,4,2,2,1
播放,0,0,3,2,3,1,0,0,0,0,4,8,0,1,0,0,1,0,2,0
韩剧,1,2,2,0,3,1,1,1,0,0,2,1,1,2,1,1,1,1,0,0
韩国,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
观影,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
凤凰,1,2,2,0,3,1,1,1,0,0,2,1,1,2,1,0,1,1,0,0
富士,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天使,1,0,0,0,3,1,1,0,0,0,2,1,2,2,0,0,1,1,0,0
官方,1,0,2,0,3,1,1,0,0,0,2,1,3,2,2,2,1,0,0,0
翅膀,0,0,2,1,2,1,2,2,2,0,2,1,2,2,2,2,1,0,0,0
发货,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
木村拓哉,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新歌,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
首张,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
专辑,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
网易云音乐,0,1,3,1,3,1,1,2,10,2,0,6,3,0,0,0,1,0,1,0
\\BJ,0,0,0,4,0,5,0,0,0,0,0,0,0,0,8,8,0,0,0,0
GAON,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUL,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
节目,0,2,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0
获奖,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
研究所,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
舞台,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tweeted,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
作品,0,0,0,0,3,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0
唐人街,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
